LID , TYPE , CA , PLAND , ED , AREA_MN , AREA_CV
tile_0009 , Barren ,156.7604,7.0339,44.5577,10.4507,221.8973
tile_0009 , Coastal Oak Woodland ,77.0281,3.4563,12.8702,2.2008,163.2294
tile_0009 , Coastal Scrub ,350.7237,15.737,41.0511,4.0782,152.947
tile_0009 , Annual Grassland ,1617.9179,72.5962,65.2759,19.7307,459.6839
tile_0009 , Valley Foothill Riparian ,6.3917,0.2868,2.5561,0.799,78.7392
tile_0009 , Lacustrine ,0.3278,0.0147,0.1541,0.3278,0
tile_0009 , Cropland and hayfield ,3.3597,0.1508,0.8606,1.6799,12.1951
tile_0005 , Mixed Chaparral ,0.1639,100,0,0.1639,0
tile_0013 , Barren ,73.2586,4.9521,31.8121,1.2852,284.4529
tile_0013 , Coastal Oak Woodland ,143.2395,9.6826,27.4582,4.0926,200.4318
tile_0013 , Coastal Scrub ,865.7467,58.5221,55.884,28.8582,391.9038
tile_0013 , Annual Grassland ,90.3851,6.1098,19.8535,2.5824,217.5443
tile_0013 , Urban ,3.4417,0.2326,2.2059,0.2025,152.1576
tile_0013 , Pasture ,34.0071,2.2988,10.0042,1.0305,132.1928
tile_0013 , Vineyard ,0.3278,0.0222,0.2903,0.0819,0
tile_0013 , Orchard ,5.7361,0.3877,1.7028,0.8194,166.2184
tile_0013 , Closed-Cone Pine ,209.8606,14.186,28.3677,9.5391,172.3859
tile_0013 , Valley Foothill Riparian ,6.7195,0.4542,2.6317,1.1199,51.682
tile_0013 , Montane Hardwood-Conifer ,26.1404,1.767,3.2509,13.0702,22.2571
tile_0013 , Cropland and hayfield ,20.4862,1.3848,3.6185,3.4144,79.6191
tile_0015 , Barren ,298.7707,6.6137,44.7629,2.1189,382.5134
tile_0015 , Coastal Oak Woodland ,707.3474,15.6581,47.4496,3.5906,175.5691
tile_0015 , Coastal Scrub ,351.8709,7.7891,22.1913,2.686,191.3254
tile_0015 , Annual Grassland ,2255.4483,49.9274,75.7496,9.7638,379.0519
tile_0015 , Urban ,12.7834,0.283,1.166,1.0653,152.6879
tile_0015 , Pasture ,397.9239,8.8086,26.456,1.8422,276.282
tile_0015 , Vineyard ,351.9529,7.791,20.6832,3.2289,227.3376
tile_0015 , Orchard ,46.6266,1.0321,4.9807,0.8967,254.0318
tile_0015 , Valley Foothill Riparian ,26.6321,0.5895,1.1279,1.4796,335.0679
tile_0015 , Lacustrine ,3.6875,0.0816,0.3549,0.9219,70.6583
tile_0015 , Cropland and hayfield ,6.3097,0.1397,0.9125,0.5736,120.9118
tile_0015 , Valley Oak Woodland ,58.0989,1.2861,4.252,4.4691,186.3988
tile_0020 , Barren ,251.2427,4.2971,29.1996,1.8749,364.4887
tile_0020 , Coastal Oak Woodland ,1012.5917,17.3186,51.4029,3.8356,187.8411
tile_0020 , Coastal Scrub ,2827.8327,48.3651,78.4874,12.7956,584.2578
tile_0020 , Annual Grassland ,1432.3949,24.4986,57.3417,4.9223,393.1481
tile_0020 , Urban ,3.032,0.0519,0.3868,0.379,86.4442
tile_0020 , Pasture ,213.794,3.6566,10.5851,2.8131,211.2966
tile_0020 , Vineyard ,12.5376,0.2144,1.5226,0.5015,125.4085
tile_0020 , Orchard ,22.6168,0.3868,1.175,1.2565,311.1051
tile_0020 , Closed-Cone Pine ,44.7419,0.7652,1.8458,5.5927,79.0624
tile_0020 , Valley Foothill Riparian ,13.8487,0.2369,0.7638,2.3081,129.4019
tile_0020 , Lacustrine ,3.1139,0.0533,0.0979,3.1139,0
tile_0020 , Cropland and hayfield ,9.0959,0.1556,0.7197,1.2994,120.8551
tile_0018 , Mixed Chaparral ,1754.9296,16.3285,24.1417,14.6244,302.8476
tile_0018 , Barren ,1111.0074,10.3372,62.6315,5.0731,1146.2864
tile_0018 , Coastal Oak Woodland ,1637.3388,15.2344,32.9232,6.0196,276.2526
tile_0018 , Coastal Scrub ,1807.5381,16.818,39.2835,5.1792,310.6823
tile_0018 , Annual Grassland ,1694.0446,15.762,35.9142,4.6412,465.5956
tile_0018 , Urban ,952.6082,8.8634,32.782,1.9641,346.4159
tile_0018 , Pasture ,1079.6226,10.0452,20.2477,4.8197,268.7168
tile_0018 , Vineyard ,71.0461,0.661,3.633,0.7558,224.3685
tile_0018 , Orchard ,136.7659,1.2725,7.1408,0.9911,197.3429
tile_0018 , Closed-Cone Pine ,3.1139,0.029,0.1145,1.038,63.595
tile_0018 , Valley Foothill Riparian ,282.2178,2.6259,6.3151,5.4273,287.0452
tile_0018 , Lacustrine ,9.2598,0.0862,0.2903,3.0866,100.2151
tile_0018 , Cropland and hayfield ,111.7727,1.04,2.9644,3.6056,122.0861
tile_0018 , Eucalyptus ,96.3671,0.8966,3.8993,1.9273,283.6522
tile_0010 , Barren ,0.4917,21.4286,124.7617,0.4917,0
tile_0010 , Coastal Oak Woodland ,0.0819,3.5714,24.9523,0.0819,0
tile_0010 , Coastal Scrub ,1.2292,53.5714,99.8094,0.6146,86.6667
tile_0010 , Valley Foothill Riparian ,0.4917,21.4286,74.857,0.4917,0
tile_0016 , Mixed Chaparral ,150.6145,37.2744,64.7516,4.5641,216.5142
tile_0016 , Barren ,34.3349,8.4973,48.8117,3.1214,115.1298
tile_0016 , Coastal Oak Woodland ,53.3461,13.2022,38.9643,2.6673,154.7835
tile_0016 , Coastal Scrub ,149.7131,37.0513,67.5145,4.6785,270.4695
tile_0016 , Annual Grassland ,14.4223,3.5693,13.6729,1.3111,118.1955
tile_0016 , Urban ,0.4097,0.1014,1.1335,0.2049,60
tile_0016 , Lacustrine ,1.2292,0.3042,1.346,1.2292,0
tile_0022 , Barren ,594.2636,7.6184,51.4256,6.91,724.2517
tile_0022 , Coastal Oak Woodland ,3118.8186,39.9832,71.518,10.0284,311.1912
tile_0022 , Coastal Scrub ,2656.4042,34.055,76.6815,6.641,361.928
tile_0022 , Annual Grassland ,1229.9913,15.7685,44.3795,3.5143,335.3417
tile_0022 , Pasture ,187.3258,2.4015,5.9452,5.8539,202.8599
tile_0022 , Vineyard ,3.1139,0.0399,0.2422,0.6228,75.1729
tile_0022 , Valley Foothill Riparian ,6.9653,0.0893,0.5688,1.7413,51.1596
tile_0022 , Lacustrine ,3.3597,0.0431,0.0881,3.3597,0
tile_0022 , Cropland and hayfield ,0.0819,0.0011,0.0147,0.0819,0
tile_0019 , Mixed Chaparral ,11.8,0.9496,2.7184,1.9667,165.3245
tile_0019 , Barren ,85.8781,6.9111,45.0373,3.4351,134.6856
tile_0019 , Coastal Oak Woodland ,228.8718,18.4186,43.4247,3.5211,225.4339
tile_0019 , Coastal Scrub ,362.6876,29.1875,59.0899,5.2563,190.8783
tile_0019 , Annual Grassland ,276.8095,22.2764,53.3536,3.5488,252.7877
tile_0019 , Urban ,4.7528,0.3825,1.4744,1.5843,112.8751
tile_0019 , Pasture ,213.3842,17.1723,44.231,3.8104,157.6444
tile_0019 , Vineyard ,20.814,1.675,7.2336,1.0407,324.2537
tile_0019 , Orchard ,20.4043,1.642,5.5058,1.7004,219.0972
tile_0019 , Closed-Cone Pine ,0.3278,0.0264,0.2995,0.1639,50
tile_0019 , Valley Foothill Riparian ,1.2292,0.0989,0.8754,0.6146,73.3333
tile_0019 , Cropland and hayfield ,15.6515,1.2596,5.8744,1.4229,207.5954
tile_0017 , Mixed Chaparral ,126.5228,75.3538,47.9075,21.0871,142.7862
tile_0017 , Barren ,10.0792,6.0029,39.2126,1.4399,126.2285
tile_0017 , Coastal Oak Woodland ,4.6709,2.7818,13.6392,1.557,126.6078
tile_0017 , Coastal Scrub ,4.9986,2.9771,14.3211,1.6662,25.5022
tile_0017 , Annual Grassland ,9.2598,5.5149,24.38,1.3228,104.3122
tile_0017 , Urban ,12.3737,7.3694,14.6621,3.0934,92.172
tile_0021 , Barren ,6.6375,9.7944,65.8959,3.3188,92.5926
tile_0021 , Coastal Oak Woodland ,24.2557,35.792,110.2489,2.2051,101.7537
tile_0021 , Coastal Scrub ,36.4654,53.8089,123.766,3.6465,103.3915
tile_0021 , Annual Grassland ,0.4097,0.6046,3.3793,0.2049,60
