LID , TYPE , CA , PLAND , ED , AREA_MN , AREA_CV
tile_0011 , Cropland and hayfield ,29.2543,0.4046,1.4017,1.7208,199.7397
tile_0011 , Valley Oak Woodland ,13.0292,0.1802,0.5068,2.6058,165.2473
tile_0007 , Coastal Oak Woodland ,395.7114,33.7858,60.711,16.488,277.9161
tile_0007 , Coastal Scrub ,304.0971,25.9638,64.0594,6.3354,201.8426
tile_0007 , Annual Grassland ,282.7915,24.1447,57.4115,7.4419,275.3453
tile_0007 , Barren ,19.7487,1.6861,15.1044,0.3086,88.1691
tile_0007 , Pasture ,75.5531,6.4507,26.2739,2.4372,281.0938
tile_0007 , Vineyard ,23.0265,1.966,12.2937,0.5482,154.7977
tile_0007 , Orchard ,66.2933,5.6601,24.1475,2.3676,281.6165
tile_0007 , Cropland and hayfield ,0.0819,0.007,0.0978,0.0819,0
tile_0007 , Valley Oak Woodland ,3.9333,0.3358,0.831,1.3111,77.0552
tile_0012 , Mixed Chaparral ,4.2611,0.1002,0.5858,1.4204,17.8339
tile_0012 , Coastal Oak Woodland ,513.3021,12.0747,36.208,4.35,244.6152
tile_0012 , Coastal Scrub ,1176.1535,27.6674,51.2582,12.2516,500.0292
tile_0012 , Annual Grassland ,1845.3966,43.4104,55.8372,17.4094,572.61
tile_0012 , Urban ,2.2125,0.052,0.3838,0.4425,78.2175
tile_0012 , Barren ,102.5949,2.4134,22.2891,0.3247,139.7193
tile_0012 , Pasture ,329.5,7.751,19.6292,7.0106,345.1947
tile_0012 , Vineyard ,269.7622,6.3458,13.1714,10.3755,178.4819
tile_0012 , Orchard ,0.9014,0.0212,0.1885,0.2253,53.7825
tile_0012 , Valley Foothill Riparian ,6.4736,0.1523,1.0707,1.0789,83.2465
tile_0012 , Lacustrine ,0.4097,0.0096,0.0875,0.4097,0
tile_0012 , Cropland and hayfield ,0.0819,0.0019,0.0269,0.0819,0
tile_0002 , Coastal Oak Woodland ,9.0139,46.8085,52.0283,3.0046,129.8696
tile_0002 , Coastal Scrub ,10.2431,53.1915,52.0283,10.2431,0
tile_0003 , Mixed Chaparral ,1.8847,1.8822,6.8609,1.8847,0
tile_0003 , Coastal Oak Woodland ,35.2363,35.1882,101.1979,5.8727,125.3866
tile_0003 , Coastal Scrub ,35.7279,35.6792,102.3414,3.5728,95.6958
tile_0003 , Annual Grassland ,27.2876,27.2504,77.7566,2.7288,145.1047
tile_0009 , Mixed Chaparral ,16.1431,0.7243,2.1964,2.3062,186.0404
tile_0009 , Coastal Oak Woodland ,86.5337,3.8828,11.5986,3.9333,183.6795
tile_0009 , Coastal Scrub ,393.253,17.6453,35.5537,10.6285,292.7577
tile_0009 , Annual Grassland ,1719.1197,77.1372,44.9559,53.7225,503.0202
tile_0009 , Barren ,3.3597,0.1508,0.9762,0.6719,56.8873
tile_0009 , Valley Foothill Riparian ,6.4736,0.2905,2.5561,0.8092,80.2875
tile_0009 , Lacustrine ,0.4097,0.0184,0.2055,0.2049,60
tile_0009 , Cropland and hayfield ,3.3597,0.1508,0.8606,1.6799,12.1951
tile_0005 , Mixed Chaparral ,0.1639,100,0,0.1639,0
tile_0013 , Coastal Oak Woodland ,145.5339,9.8377,27.5356,4.4101,199.555
tile_0013 , Coastal Scrub ,874.4328,59.1093,55.3615,43.7216,352.5331
tile_0013 , Annual Grassland ,91.8601,6.2095,19.9503,2.9632,199.5474
tile_0013 , Urban ,7.8667,0.5318,4.0055,0.7152,229.6916
tile_0013 , Barren ,43.9224,2.969,21.9047,0.556,144.5752
tile_0013 , Pasture ,41.3821,2.7973,10.1396,2.5864,154.0873
tile_0013 , Vineyard ,0.3278,0.0222,0.2903,0.0819,0
tile_0013 , Orchard ,5.9,0.3988,1.7802,0.8429,162.5771
tile_0013 , Closed-Cone Pine ,213.2203,14.4131,28.6386,13.3263,150.0853
tile_0013 , Valley Foothill Riparian ,7.0473,0.4764,2.7478,1.4095,46.8592
tile_0013 , Montane Hardwood-Conifer ,26.1404,1.767,3.2509,13.0702,22.2571
tile_0013 , Cropland and hayfield ,21.7154,1.4679,3.7346,5.4288,46.5162
tile_0015 , Coastal Oak Woodland ,737.2573,16.3202,46.4421,4.7874,214.2441
tile_0015 , Coastal Scrub ,368.096,8.1483,21.6527,3.377,216.8724
tile_0015 , Annual Grassland ,2386.56,52.8298,63.7098,21.3086,555.0431
tile_0015 , Urban ,14.5042,0.3211,1.1786,1.3186,155.5243
tile_0015 , Barren ,49.5766,1.0974,9.6572,0.3042,148.4625
tile_0015 , Pasture ,437.9129,9.6938,25.9934,2.7032,322.6132
tile_0015 , Vineyard ,375.3071,8.3079,19.4158,4.6913,234.3027
tile_0015 , Orchard ,48.2655,1.0684,5.1581,0.8938,256.1738
tile_0015 , Valley Foothill Riparian ,29.1723,0.6458,1.261,2.0837,272.9788
tile_0015 , Lacustrine ,3.6875,0.0816,0.3549,0.9219,70.6583
tile_0015 , Cropland and hayfield ,6.3917,0.1415,0.9252,0.5811,118.6711
tile_0015 , Valley Oak Woodland ,60.7211,1.3441,4.1126,6.7468,166.5499
tile_0020 , Coastal Oak Woodland ,1042.0919,17.8232,51.2805,4.9155,166.6245
tile_0020 , Coastal Scrub ,2888.3899,49.4008,76.6367,19.3852,571.4647
tile_0020 , Annual Grassland ,1521.4689,26.0221,53.1115,9.3342,557.6684
tile_0020 , Urban ,5.7361,0.0981,0.612,1.434,53.8327
tile_0020 , Barren ,44.2502,0.7568,6.683,0.323,119.7362
tile_0020 , Pasture ,234.526,4.0112,10.5753,4.9899,170.3066
tile_0020 , Vineyard ,14.0126,0.2397,1.7283,0.7006,107.6706
tile_0020 , Orchard ,23.6001,0.4036,1.2534,1.5733,286.2164
tile_0020 , Closed-Cone Pine ,44.7419,0.7652,1.8458,5.5927,79.0624
tile_0020 , Valley Foothill Riparian ,15.7334,0.2691,0.8127,3.1467,109.0844
tile_0020 , Lacustrine ,3.1139,0.0533,0.0979,3.1139,0
tile_0020 , Cropland and hayfield ,9.1778,0.157,0.7197,1.3111,119.1956
tile_0018 , Mixed Chaparral ,1822.616,16.9583,22.5436,28.0402,266.9094
tile_0018 , Coastal Oak Woodland ,1713.2197,15.9404,31.7033,8.8768,292.502
tile_0018 , Coastal Scrub ,1927.2595,17.9319,38.4445,8.6813,385.437
tile_0018 , Annual Grassland ,1793.1978,16.6846,34.9181,6.7668,458.2557
tile_0018 , Urban ,1325.4569,12.3325,19.6404,17.4402,384.6953
tile_0018 , Barren ,258.7816,2.4078,15.1685,0.6032,450.1439
tile_0018 , Pasture ,1163.0424,10.8214,18.623,9.692,361.147
tile_0018 , Vineyard ,73.7503,0.6862,3.7741,0.8194,212.8119
tile_0018 , Orchard ,145.3701,1.3526,7.3166,1.1537,190.3947
tile_0018 , Closed-Cone Pine ,3.2778,0.0305,0.1145,1.0926,67.4537
tile_0018 , Valley Foothill Riparian ,294.0179,2.7357,6.5495,7.9464,295.6683
tile_0018 , Lacustrine ,9.4237,0.0877,0.2956,3.1412,97.3602
tile_0018 , Cropland and hayfield ,112.838,1.0499,2.9884,3.7613,117.9417
tile_0018 , Eucalyptus ,105.381,0.9805,4.2269,3.0109,215.5807
tile_0010 , Coastal Oak Woodland ,0.0819,3.5714,24.9523,0.0819,0
tile_0010 , Coastal Scrub ,1.557,67.8571,124.7617,1.557,0
tile_0010 , Barren ,0.1639,7.1429,74.857,0.1639,0
tile_0010 , Valley Foothill Riparian ,0.4917,21.4286,74.857,0.4917,0
tile_0016 , Mixed Chaparral ,155.6132,38.5115,63.2639,5.9851,196.4506
tile_0016 , Coastal Oak Woodland ,60.0655,14.8651,34.572,5.0055,243.8205
tile_0016 , Coastal Scrub ,159.6284,39.5052,62.3429,10.6419,264.286
tile_0016 , Annual Grassland ,15.8973,3.9343,12.752,1.7664,157.6882
tile_0016 , Urban ,0.9833,0.2434,1.7711,0.3278,88.9757
tile_0016 , Barren ,10.5709,2.6161,16.2233,0.4805,162.9549
tile_0016 , Lacustrine ,1.3111,0.3245,1.4877,0.6556,87.5
tile_0022 , Coastal Oak Woodland ,3341.4626,42.8375,60.7066,23.0446,587.8426
tile_0022 , Coastal Scrub ,2830.5369,36.2874,70.3657,13.4787,479.354
tile_0022 , Annual Grassland ,1363.971,17.4861,40.5628,7.9764,323.0378
tile_0022 , Barren ,39.8252,0.5106,5.1818,0.2385,111.0966
tile_0022 , Pasture ,210.5162,2.6988,5.1158,14.0344,234.3297
tile_0022 , Vineyard ,3.5236,0.0452,0.2349,0.8809,88.3415
tile_0022 , Valley Foothill Riparian ,7.0473,0.0903,0.5688,1.7618,51.8453
tile_0022 , Lacustrine ,3.3597,0.0431,0.0881,3.3597,0
tile_0022 , Cropland and hayfield ,0.0819,0.0011,0.0147,0.0819,0
tile_0019 , Mixed Chaparral ,12.6195,1.0156,2.6723,2.1032,174.3503
tile_0019 , Coastal Oak Woodland ,237.2302,19.0913,43.0792,5.0475,190.2488
tile_0019 , Coastal Scrub ,386.9433,31.1395,52.9159,9.9216,173.2441
tile_0019 , Annual Grassland ,298.1971,23.9976,50.9808,5.4218,272.1988
tile_0019 , Urban ,4.7528,0.3825,1.4744,1.5843,112.8751
tile_0019 , Barren ,5.2445,0.4221,3.3173,0.3496,103.2197
tile_0019 , Pasture ,237.1482,19.0847,37.8958,7.6499,217.5622
tile_0019 , Vineyard ,21.5515,1.7344,7.6483,1.0263,326.5604
tile_0019 , Orchard ,20.5681,1.6552,5.6441,1.714,217.0211
tile_0019 , Closed-Cone Pine ,0.3278,0.0264,0.2995,0.1639,50
tile_0019 , Valley Foothill Riparian ,1.2292,0.0989,0.8754,0.6146,73.3333
tile_0019 , Cropland and hayfield ,16.7987,1.3519,5.8744,1.6799,215.5772
tile_0017 , Mixed Chaparral ,126.7686,75.5002,47.737,21.1281,142.8598
tile_0017 , Coastal Oak Woodland ,4.6709,2.7818,13.6392,1.557,126.6078
tile_0017 , Coastal Scrub ,4.9986,2.9771,14.3211,1.6662,25.5022
tile_0017 , Annual Grassland ,13.357,7.9551,13.8096,6.6785,79.1411
tile_0017 , Urban ,15.1598,9.0288,5.7966,15.1598,0
tile_0017 , Barren ,2.95,1.757,13.4687,0.3688,77.7778
tile_0021 , Coastal Oak Woodland ,26.6321,39.2987,109.4041,5.3264,136.1273
tile_0021 , Coastal Scrub ,40.7266,60.0967,110.2489,13.5755,131.671
tile_0021 , Annual Grassland ,0.4097,0.6046,3.3793,0.2049,60
